,TCGA-3L-AA1B-01A-11R-A37K-07,TCGA-4N-A93T-01A-11R-A37K-07,TCGA-4T-AA8H-01A-11R-A41B-07,TCGA-5M-AAT4-01A-11R-A41B-07,TCGA-5M-AAT5-01A-21R-A41B-07
215,4.08187551860098,3.47626162352347,3.17849204284189,3.88417460387447,2.54658381470838
225,-2.99599399385621,-4.64829055376488,-5.09080673097211,-4.90479043854628,-4.79484873556414
5825,4.81513018820055,3.68132040110776,5.06014937116862,3.94761147998182,4.0482547852732
5826,5.02528144899221,3.63008457482607,3.7382956516016,4.21252338815849,3.29976643621062
6059,4.93121770988189,3.84067907891262,4.89181485568663,4.89838094707789,5.27931836056377
23,5.48891136206055,5.07584544412179,5.26744961473699,5.76433852957327,5.96516382735996
10061,5.63817291205509,4.44837730389098,5.04170620835771,5.60459273120938,5.39632107680354
55324,5.06488574491802,5.49882182850355,5.25823546878152,5.51048426383076,5.2702945347929
9619,5.16683042610712,4.27477909814429,4.68810344129535,3.5118156561905,2.66912248240597
9429,-0.114182102987566,-3.22129400066206,-3.18416672045451,-2.70763454001686,-0.74692486741983
64137,-3.54028383359489,-4.44341378366004,-4.67793016484291,-4.21283749856452,-4.08593616228528
64240,-3.04845952334688,-0.242898669566196,-4.72574215449678,-3.2111990620008,-2.82720182838336
64241,-5.32211944166916,-1.64150886597968,-4.31911543936476,-4.43072021271516,-3.96680126553586
55347,4.03683193193517,3.7386550492971,4.30214423998076,4.31751286490433,3.88204595153445
83451,6.73910380808556,7.11104706572614,7.61644601393462,7.20760184029191,6.76951475051561
145447,1.21946601922594,-3.54828489641969,4.27547698463278,4.91851273103944,2.25301216863774
26090,6.26065718718765,6.23331045576504,5.95268558224245,6.48586225525018,7.01553355722342
84945,3.22550285207439,2.77760193503594,3.05901825491858,2.08597873495311,2.72241159026363
25864,4.45113351992751,3.83351575267897,4.71523347023158,3.41219499271272,3.00103698735572
84836,6.49857959385121,7.29478685925147,7.52201595458832,6.11037167267847,6.54795710665646
116236,3.78440028174188,3.77511343512046,3.34186185489949,3.67274052757385,3.52941218651637
84696,-0.696003146907386,-2.12521022042408,-2.70617078531362,1.2869670381831,-2.52987657432062
11057,7.17073542055408,6.14064945374485,6.48172327264999,5.23675001945088,4.56186730315512
171586,3.93146466817353,4.10575029935866,4.80683528196913,3.78226676488276,3.42357399735347
63874,3.82974194062256,3.17250393290328,3.30236206579461,3.87045079274868,1.98693026017329
51099,2.17420682778573,1.77680088675176,2.78883249172342,1.82334621270525,2.1392830090527
57406,3.10351606219828,2.89776473107034,3.87746812605793,3.47512984888346,3.31700013488665
79575,1.94470114563847,2.13183060773281,0.809190505801965,1.40719663204018,0.885270937301924
10006,5.13086723874632,5.08928845661618,5.19015108318533,4.90639762738828,4.9370214789518
10152,3.63895444175908,2.81710184731237,2.0415892169589,3.11216835338664,3.16493450290697
25890,2.04400935324964,0.00412483357517922,-1.89136174367426,-1.67603176234725,-0.964947245616238
51225,2.86043744033291,0.872171528495346,0.537269963628129,1.1708543401713,1.22057716158473
25,5.32646846692324,5.15944837450715,4.76169520132411,5.16787485335112,4.8538912319734
27,1.74935173174512,1.46797004163886,1.12482594642053,2.10447473518802,2.11292384074429
3983,5.66775788718472,5.62504725411756,6.22181471098763,5.47706850130128,5.39799537830675
84448,5.02585258009883,3.44865251581903,3.37040532019361,3.60418038110808,3.99990600650577
22885,2.14310522834314,1.68249681268105,1.22437134181723,1.7618039058862,0.0213123894860796
28,3.73447572713023,5.22130675669101,5.53130827356834,2.90674601679032,2.44705489869153
26,7.60565717222014,7.98923682907901,7.50405679898401,6.5780679444831,6.8684913312223
137735,-4.22751660316284,-4.88024540142402,-5.09115391746285,-6.64385618977472,-4.79510076026743
29,6.31541534292948,6.75186114609485,6.72966549594212,6.2214080593587,5.63132051097089
29777,4.78523566865715,4.77910490743865,4.56075899181443,4.79120955355881,5.36596713024808
80325,4.36123338369931,6.0298312128299,5.1211810411672,4.43464143271047,3.36229627392119
25841,1.22332387738426,1.51260117159187,1.82908536237425,3.07333920862596,2.14749707841265
30,5.29996010728107,6.40698185117954,6.21107174131871,5.04522041517209,5.5674849803189
10449,6.39620716075281,6.14333004510921,6.97985929301766,6.07760370125902,6.43240580098447
31,4.83096085762355,4.95671481406269,4.88367390970506,5.51835808579292,5.24649972212245
32,2.89520575704176,2.89107476302884,0.0627440717125042,2.20025417270708,1.47772715219072
80724,3.71488478471626,3.72454623366582,4.39309176351711,3.69985866933151,3.42752941035076
84129,3.25049191914713,2.95335700342119,3.11263842476903,3.71012139010215,2.27701544859941
27034,4.35155891913516,4.19343387455431,4.21812820934447,4.22575029389833,4.14121292936244
28976,5.03548854352342,5.84587011783506,5.19103725535593,5.47333852652313,5.1249923257546
33,-6.64385618977472,-4.32044981815719,-6.64385618977472,-5.44061164935909,-3.47578716273289
34,4.32692681740213,3.07865468655649,4.79197111217396,3.60704987977838,3.0147527938376
36,2.5613249008585,2.99661935634375,3.57125128721867,3.67969691290405,2.14932009535083
35,5.30180335268113,5.94898764402766,5.4094449972024,4.42407155222632,4.13889957021588
37,7.76058804643652,7.62189758626971,8.61918098227671,7.60854476395853,6.92502951991144
176,1.39039300967833,-0.984571220739334,-1.19845927397623,0.803826043046826,1.3039657361185
9744,2.414708359066,1.00620555784048,-0.175215984461906,-0.758399101766676,0.444343938076611
23527,3.24672657189045,2.86730224163535,3.73421740215157,3.08213284405986,2.52454659318596
116983,4.00592650001793,3.72070972419555,3.92987631369631,3.81957946483703,4.03752487222611
38,5.39207279311788,5.35365679707714,4.91837117792614,6.26166564219534,5.89249999520972
39,4.66472655336191,5.23939244442774,5.2895369587211,5.99791990165512,6.38992393680592
64746,4.68132264492254,4.21154590575104,4.76325339898248,4.36061759162522,4.34373437208199
79777,3.59447296985618,4.24102166574197,3.37577278775986,3.38067883143502,2.52638676758571
91452,4.23265829985178,3.44597487286774,4.68673931922498,4.26700953363085,3.51993102848459
84320,4.74243138611813,4.84254337237924,4.52460711201443,5.10273962879384,5.15443076369272
414149,0.343617441379867,-0.107330692525524,-0.591485222954325,-0.0531825506357367,-0.557732200620536
40,-0.690776455764001,-4.70394525575025,-5.06687904905241,-2.28968627258032,-2.79927461301788
41,3.3010858992275,2.79042353226268,2.69102496690012,4.02039142965712,2.8329234180007
9311,-1.6732191880487,1.03394529517901,1.9811530663452,-0.351442927226248,-1.69940336934891
55515,-3.78263896824538,-6.64385618977472,-1.96240847657493,-3.03430981114888,-4.16962564460825
51802,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
390110,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
84680,3.08589005706378,3.33249282643107,1.75875308699968,1.9763456956969,1.4076911738317
65057,4.23777106444952,4.85033316499539,3.22206970792259,4.50032147730599,4.35770364990791
59272,4.52441019212399,1.22208537728454,4.09284215679068,5.34013190737343,6.27767329769408
125981,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
340485,0.881557410143812,1.19117927476041,1.12229296133704,1.31635887919377,-0.512729219656465
55331,2.2366610455126,1.75454539847482,2.26894322424894,2.52809312930794,2.21764914834325
1636,5.32560433724064,7.08632339235428,5.06733295526984,3.75735536486272,4.62642194355983
43,1.42000973679396,2.72291646022112,2.36553578545544,2.29498038283639,1.73328126625586
22985,6.67694373877042,5.752858277173,6.14928089503547,6.2427011966268,5.94389315378343
47,6.18634696334915,5.38555730050006,6.11435510917639,6.72370732015654,6.5554594383362
130013,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-4.60586601653323
57001,4.09050433712858,2.95370997784478,3.86481973310314,3.4835302463922,3.21835624442746
48,4.5233896161753,4.65569707102882,4.08842425843783,5.12708445831731,4.71818524093521
50,6.5049710069556,6.17559333261234,6.94063367910085,6.32891850308947,7.17573022254853
26027,4.51601658516718,4.1178502438289,4.60934886849433,3.11446293591446,4.93083860443018
134526,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
55856,3.91909684930484,4.26645973478432,3.67713205909169,4.17016276627653,3.72188525370333
641371,3.72246978554333,2.2924682536502,3.62725396846636,4.7005392982676,2.56834966802039
10965,3.67648427875763,2.45287938973774,3.31947197243691,3.91635180496085,2.29759445550793
122970,1.909333180855,1.86411278163604,1.17839139529085,0.247811217365577,0.0932574636580265
641372,-4.17751344120673,-6.64385618977472,-3.84274843759437,-4.43718065804385,-2.93728514753227
11332,5.59646452771114,5.05977440958306,5.68799749372469,6.53388506426738,6.2878025660089
10005,5.20251617348802,5.29553285893229,4.2658693970248,4.97647084626553,5.5561930665766
23597,4.93235085308193,5.10125608784016,5.25377369788238,6.00137063321441,4.88527169856412
51,4.74160374969578,5.27672929282202,5.10403230996783,4.0258733941232,4.39127067653565
8309,4.84746496408649,2.69311661900725,3.19942284770712,3.7841854173522,3.33337903870059
8310,3.76648182839951,3.22066492269304,3.35146701222134,3.63451744472564,2.68805163110777
55289,-3.73868806321194,-2.00671437931425,-6.64385618977472,-1.24827336973209,-3.12788470355733
52,7.06925258233355,6.54872633313674,6.41415483983675,7.2815860450211,6.94203408815698
53,4.90688293271033,4.42623671050476,3.92710217761423,4.24590146225186,4.17785799146411
54,4.64221984381159,1.85383532658851,2.59466750553296,3.15191606279996,3.01560548319393
51205,4.62908554518348,4.39655959031611,4.34384940388887,4.84219576867255,4.08279974360129
92370,3.60377734683962,3.03384825948439,3.25651232038565,3.68206299045265,2.69589990551389
55,1.7144854562005,-0.3398679269924,3.1041934188867,1.66093192965005,1.25918090191019
93650,-3.76091589859534,-4.78137293746919,-4.25701879375726,-4.03016946262762,-3.90107505818831
84519,1.69501298004899,0.898077487501328,1.42448567450103,-0.459380561779032,-1.72080902780385
93953,-0.359463503675209,-0.560016011367677,-0.798951340359812,-1.24558494276117,0.069414930196678
56,-3.77684531722423,-2.20021627531904,-3.43624768564816,-1.66144490721055,-1.50210662462748
49,-3.26703770937244,-0.922648963898038,-4.27846516581524,-3.17734292141332,-3.41357630170983
23205,-2.29746996630677,-3.87326011674655,-1.46515728672229,-3.90405290326911,-2.57366000055781
81616,-4.56614350003925,-3.47339790950765,-4.98748983546817,-6.64385618977472,-3.87999571541429
80221,3.91150005698134,5.78047489719445,4.54702650543553,4.78053832826303,2.88058665171264
197322,4.23899871738443,4.41259082858847,4.26980090552381,3.70961876640058,4.02846707590492
2180,3.60965079977236,3.61709833243753,4.74228051115569,5.20153026518916,3.75642884459488
2181,5.48620316983691,5.69299411208383,4.74050315477511,6.03184786061101,6.33972193921682
2182,4.48470018511491,3.03584796881043,3.57246754849677,4.51721966545417,3.81873130773503
51703,8.19029360202573,7.1754170444899,7.52412232029893,7.56183293504526,6.79543221375749
23305,2.68097863646237,2.27177889640485,-1.00399200881726,1.97528067928426,1.0505115322999
116285,0.40324900526237,-0.153635986047981,-0.0514514137207944,-1.82237647901012,-1.34726316174464
123876,-4.89503187215233,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
348158,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
6296,3.10721886280241,4.27692284836029,4.66120801437731,2.82348000395393,2.8434229667434
341392,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
54988,-4.34621533989762,-5.3941306590161,-6.64385618977472,-6.64385618977472,-6.64385618977472
84532,5.12285163422821,6.01575867585832,3.87809811235029,5.01603955405477,6.11369433624739
55902,6.48144022753347,7.22932597591072,5.71446100509293,6.56326141670997,6.85314715029784
79611,-0.287065929616032,-5.5791112237273,-3.58630966333314,-2.65003320773174,-2.77678545369857
58,-3.01614366720408,-2.33681506154546,-2.63514869748618,-3.67083262174128,-2.41281276172867
59,8.84118879463301,5.98565146465576,6.21421786989588,7.37524425309605,7.06616158699804
345651,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
60,11.9786460032228,12.0387872229319,12.3134322221434,11.8376786390539,12.2380840381539
70,-3.24713971128509,-5.73498544126227,-5.36960487795655,-1.07972418694762,-1.12472512533491
71,12.0231925607686,11.6411075204606,12.2223892317328,12.0213645952146,12.4214415596464
72,6.90340983319484,4.7174278445725,5.33096354898116,5.62680504038166,5.58060827642027
86,5.6442710744566,5.77641432056606,5.73075632829933,6.43449852779935,6.20805714291531
51412,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
10881,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
10880,-4.63046377659854,-4.83161531930556,-6.64385618977472,-4.8612221025478,-6.64385618977472
81569,0.217017979127172,-4.42097939201236,-1.23983700745423,2.47186724333678,0.0333332999019134
284382,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
87,7.11731394447793,5.4420188067996,6.51963210209621,6.13675535099448,5.8457081844019
88,-4.80907726699642,-5.87054935712085,-6.64385618977472,-6.64385618977472,-6.64385618977472
89,-4.27249477844155,-5.53780582803228,-5.12729479299396,-6.64385618977472,-6.64385618977472
81,8.43666841595136,8.52569765480683,8.89914936082012,8.2453803935956,8.53563088694157
55860,4.61753805707666,3.54176823088773,4.4885820650071,4.53401704053402,3.84421116603518
10121,5.82488010924978,5.8245413729228,6.21906765364675,5.94918691141095,5.10585586323024
10120,5.99156649185539,5.85706089290868,5.78054832677096,5.5549193794558,5.38755582755948
10097,7.13548480137026,6.56486436489968,6.65509125024537,7.1334269083474,7.0142757484902
57180,3.42169954875116,2.77013311613286,2.64153789196961,3.83467380863893,2.76463810984048
653857,1.5603643090633,-0.252236292232231,0.139991086971508,0.887071927634048,0.970141634279236
10096,7.16827341430846,6.83528337787626,6.85859052483952,6.91574510084979,7.22487858662761
79913,3.63307030137806,4.0310220741576,2.71417706151341,3.92396489415295,3.71834718931577
64431,4.12063851421721,3.75058145817088,4.36789720527626,3.98305201816518,4.01858891939649
93973,3.6682387439031,3.03699389104693,3.34974373520433,2.79294211256871,2.98052588732427
139741,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
140625,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
91,5.92972736796382,5.37104335865062,5.21441964853684,4.75190702291525,4.82886610198767
130399,0.177757563653387,-1.00689749213262,-0.26911504412534,0.342380038826583,1.4953562921643
90,4.78734255162445,3.49057666572503,2.91418589140025,3.65917128242579,3.89286430151679
92,2.45545006522779,2.17089600358255,1.84738203079058,1.42088400838215,2.29988747455709
93,1.25821122499178,0.918468698844901,0.196566179421276,0.942254334528438,1.41431188655423
94,4.54710900451128,5.96140355402128,5.66365248033621,4.18897797315451,4.28026296065379
95,6.59023018985941,6.15900999889356,6.80836094488777,6.55922434586531,6.25465664036453
91703,3.00419653521007,3.12961169368995,3.11292445470517,2.76877231942371,3.11671704276953
97,4.06966185649753,4.22567954629567,4.03312512330695,4.35226036150777,3.85664709558688
98,2.90442251401045,2.19030590724137,2.5687618645678,2.09905136178365,1.26412471766478
132612,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
161931,-6.64385618977472,-5.24324267310905,-6.64385618977472,-6.64385618977472,-4.07971234149071
161823,1.28827638355191,0.356486014815816,-0.196519476840589,1.2483617824913,1.65723363979652
102,5.05349262605301,3.4214227130324,4.82827936992696,4.31320928746721,4.28731054396691
4185,-1.97336919883331,-3.54729081930606,-5.04411114116305,-1.26957873541257,-2.51629407873784
8038,0.838399691375063,-0.850248075732471,-0.577437730188314,0.918121127473906,-0.803125742815126
8751,6.28468230248951,6.70704105653929,6.55891353453728,6.94727061373992,6.53864240723296
