,test
197322,4.23899871738443
2180,3.60965079977236
2181,5.48620316983691
2182,4.48470018511491
51703,8.19029360202573
23305,2.68097863646237
116285,0.40324900526237
123876,-4.89503187215233
348158,-6.64385618977472
6296,3.10721886280241
341392,-6.64385618977472
54988,-4.34621533989762
84532,5.12285163422821
55902,6.48144022753347
79611,-0.287065929616032
58,-3.01614366720408
59,8.84118879463301
345651,-6.64385618977472
60,11.9786460032228
70,-3.24713971128509
71,12.0231925607686
72,6.90340983319484
86,5.6442710744566
51412,-6.64385618977472
10881,-6.64385618977472
10880,-4.63046377659854
81569,0.217017979127172
284382,-6.64385618977472
87,7.11731394447793
88,-4.80907726699642
89,-4.27249477844155
81,8.43666841595136
55860,4.61753805707666
10121,5.82488010924978
10120,5.99156649185539
10097,7.13548480137026
57180,3.42169954875116
653857,1.5603643090633
10096,7.16827341430846
79913,3.63307030137806
64431,4.12063851421721
93973,3.6682387439031
139741,-6.64385618977472
140625,-6.64385618977472
91,5.92972736796382
130399,0.177757563653387
90,4.78734255162445
92,2.45545006522779
93,1.25821122499178
94,4.54710900451128
95,6.59023018985941
91703,3.00419653521007
97,4.06966185649753
98,2.90442251401045
132612,-6.64385618977472
161931,-6.64385618977472
161823,1.28827638355191
102,5.05349262605301
4185,-1.97336919883331
8038,0.838399691375063
8751,6.28468230248951
6868,3.92893835999258
8749,-6.64385618977472
8728,3.51673024036061
8748,-5.36586901182719
145241,-5.06284048709228
8747,-3.70108337846843
53616,-1.60554155725067
8745,0.400847159411806
10863,2.75245363745826
11086,-6.64385618977472
2515,-6.64385618977472
11085,-6.64385618977472
203102,2.7234950171278
80332,2.84989538719634
1587,-6.64385618977472
255926,-6.64385618977472
8755,5.94068710477694
8756,-6.64385618977472
101,2.22615585467174
8754,5.95833311164105
27299,4.66339486780734
81794,1.17807620245187
81792,0.585857808536624
11093,2.42713174457303
140766,2.67035765861529
170689,0.516339494171062
170690,-1.53416731905434
170691,-0.691426332092451
170692,-4.04736733354824
171019,-0.836969656663257
9510,2.89298366973488
80070,-6.64385618977472
9509,0.1874175564925
9508,-3.03353091885376
9507,1.55511665628273
11096,-0.324253646075227
11174,0.00719475060533146
11173,1.40443128238238
11095,0.946459831400499
56999,1.85838994537356
92949,0.47187964761584
9719,4.63139712862658
57188,0.558915830889549
54507,2.25916249786853
339366,1.9452361878029
11033,6.77694188172498
55803,1.78833622020183
104,2.13587085217068
105,-1.42631429658169
103,6.12241184922538
23536,2.90797263131738
134637,3.31580035421783
113179,2.69048386201123
100,2.86050315158114
57143,4.01312883432246
90956,4.97850753400691
79934,4.40345343376386
203054,4.94249828362496
55811,-2.97453517993056
107,-0.779265406707278
108,-1.43324921440209
109,5.72830020164157
196883,2.40994211416868
111,1.25896515289341
112,5.29365437024332
113,2.82739239659262
114,-4.3818397545287
115,2.33782689496285
117,-4.77294334693394
116,-0.971645872010493
113451,1.27154560993269
118,6.80502219390786
